,,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,1,2,3,4,5,6,,,,
,,[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
6/9/2018,9:00:00 AM,20.431,5.697,20.244,19.382,13.397,10.677,28.91,29.308,29.375,28.924
6/9/2018,9:16:40 AM,20.401,5.633,20.216,19.341,13.375,10.642,28.907,29.236,29.309,28.938
6/9/2018,9:33:20 AM,20.399,5.602,20.194,19.342,13.318,10.605,28.905,29.268,29.338,28.947
6/9/2018,9:50:00 AM,20.352,5.543,20.174,19.291,13.283,10.544,28.909,29.255,29.338,28.916
6/9/2018,10:06:40 AM,20.355,5.492,20.134,19.261,13.258,10.482,28.911,29.259,29.296,28.967
6/9/2018,10:23:20 AM,20.321,5.434,20.099,19.234,13.189,10.449,28.914,29.201,29.297,28.949
6/9/2018,10:40:00 AM,20.267,5.39,20.084,19.236,13.169,10.393,28.921,28.987,29.016,28.607
6/9/2018,10:56:40 AM,20.254,5.341,20.064,19.206,13.113,10.331,28.906,29.003,29.078,28.669
6/9/2018,11:13:20 AM,20.238,5.271,20.04,19.184,13.091,10.314,28.906,29.114,29.151,28.83
6/9/2018,11:30:00 AM,20.245,5.241,20.011,19.143,13.04,10.26,28.908,28.998,29.012,28.575
6/9/2018,11:46:40 AM,20.196,5.197,20.011,19.112,12.99,10.208,28.914,29.081,29.116,28.72
